id,cargo,cidade,senioridade,salario_min,salario_max,modalidade
767,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2604,4450,Remoto
768,Dados / BI,Remoto (Brasil),Júnior,2608,4563,Híbrido
769,Dados / BI,São Paulo - SP,Júnior,2747,4783,Híbrido
770,Dados / BI,São Paulo - SP,Sênior,9871,16963,Presencial
771,Desenvolvimento Backend,São Paulo - SP,Sênior,9761,15916,Presencial
772,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5162,9450,Presencial
773,Suporte / Infraestrutura,São Paulo - SP,Pleno,5211,9498,Híbrido
774,Dados / BI,Remoto (Brasil),Pleno,5416,9110,Híbrido
775,Dados / BI,Rio de Janeiro - RJ,Júnior,2602,4422,Remoto
776,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,10164,16862,Híbrido
777,Suporte / Infraestrutura,São Paulo - SP,Júnior,2675,4623,Remoto
778,Dados / BI,Rio de Janeiro - RJ,Pleno,5427,9455,Híbrido
779,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,9973,15706,Híbrido
780,Desenvolvimento Backend,São Paulo - SP,Júnior,2745,4508,Presencial
781,Suporte / Infraestrutura,São Paulo - SP,Júnior,2552,4417,Remoto
782,Desenvolvimento Backend,São Paulo - SP,Júnior,2555,4741,Híbrido
783,Desenvolvimento Frontend,São Paulo - SP,Sênior,9741,16565,Híbrido
784,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2534,4766,Híbrido
785,Desenvolvimento Backend,Remoto (Brasil),Júnior,2524,4605,Presencial
786,Suporte / Infraestrutura,São Paulo - SP,Sênior,10112,16753,Híbrido
787,Desenvolvimento Backend,São Paulo - SP,Sênior,10187,16059,Remoto
788,Desenvolvimento Backend,São Paulo - SP,Júnior,2619,4387,Remoto
789,Desenvolvimento Backend,Remoto (Brasil),Júnior,2723,4747,Híbrido
790,Suporte / Infraestrutura,São Paulo - SP,Júnior,2580,4543,Remoto
791,Desenvolvimento Backend,São Paulo - SP,Júnior,2509,4560,Remoto
792,Desenvolvimento Frontend,São Paulo - SP,Pleno,5248,9018,Remoto
793,Suporte / Infraestrutura,São Paulo - SP,Sênior,10267,16341,Remoto
794,Suporte / Infraestrutura,São Paulo - SP,Sênior,10193,15493,Presencial
795,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5475,8658,Híbrido
796,Dados / BI,Remoto (Brasil),Pleno,5321,8825,Híbrido
797,Suporte / Infraestrutura,São Paulo - SP,Júnior,2687,4695,Remoto
798,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2743,4628,Presencial
799,Desenvolvimento Backend,Remoto (Brasil),Júnior,2718,4426,Remoto
800,Suporte / Infraestrutura,São Paulo - SP,Pleno,5471,8867,Híbrido
801,Dados / BI,São Paulo - SP,Sênior,9987,15849,Híbrido
802,Desenvolvimento Frontend,São Paulo - SP,Pleno,5020,9075,Presencial
803,Desenvolvimento Frontend,São Paulo - SP,Pleno,5042,8847,Remoto
804,Dados / BI,São Paulo - SP,Sênior,10361,15809,Presencial
805,Desenvolvimento Frontend,São Paulo - SP,Pleno,5211,8646,Híbrido
806,Suporte / Infraestrutura,São Paulo - SP,Pleno,5236,8733,Presencial
807,Dados / BI,Rio de Janeiro - RJ,Pleno,5232,9325,Remoto
808,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5446,9239,Remoto
809,Dados / BI,São Paulo - SP,Pleno,5207,9439,Híbrido
810,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2548,4377,Híbrido
811,Suporte / Infraestrutura,São Paulo - SP,Pleno,5320,9428,Híbrido
812,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5059,8720,Presencial
813,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2645,4744,Remoto
814,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5212,9418,Híbrido
815,Suporte / Infraestrutura,São Paulo - SP,Pleno,5347,9476,Híbrido
816,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2516,4457,Híbrido
817,Desenvolvimento Backend,São Paulo - SP,Pleno,5223,8571,Remoto
818,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9847,16533,Presencial
819,Suporte / Infraestrutura,São Paulo - SP,Pleno,5376,8918,Híbrido
820,Desenvolvimento Backend,São Paulo - SP,Pleno,5088,8754,Remoto
821,Suporte / Infraestrutura,São Paulo - SP,Júnior,2504,4503,Híbrido
822,Dados / BI,Remoto (Brasil),Júnior,2558,4381,Híbrido
823,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5458,8704,Híbrido
824,Suporte / Infraestrutura,São Paulo - SP,Pleno,5499,8658,Remoto
825,Dados / BI,São Paulo - SP,Júnior,2592,4400,Remoto
826,Desenvolvimento Frontend,São Paulo - SP,Sênior,9625,15713,Remoto
827,Suporte / Infraestrutura,São Paulo - SP,Júnior,2595,4686,Híbrido
828,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5470,8969,Híbrido
829,Desenvolvimento Frontend,São Paulo - SP,Pleno,5035,8636,Remoto
830,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,9654,16476,Remoto
831,Dados / BI,São Paulo - SP,Pleno,5155,9288,Híbrido
832,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2639,4639,Híbrido
833,Desenvolvimento Frontend,São Paulo - SP,Júnior,2637,4491,Remoto
834,Desenvolvimento Backend,Remoto (Brasil),Pleno,5387,9200,Remoto
835,Desenvolvimento Backend,São Paulo - SP,Júnior,2608,4578,Híbrido
836,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2666,4383,Híbrido
837,Dados / BI,Remoto (Brasil),Pleno,5457,9192,Híbrido
838,Desenvolvimento Frontend,São Paulo - SP,Pleno,5071,9281,Presencial
839,Suporte / Infraestrutura,São Paulo - SP,Júnior,2682,4537,Remoto
840,Dados / BI,Remoto (Brasil),Júnior,2519,4509,Híbrido
841,Dados / BI,São Paulo - SP,Pleno,5485,9051,Híbrido
842,Desenvolvimento Backend,São Paulo - SP,Sênior,10025,16383,Remoto
843,Dados / BI,São Paulo - SP,Pleno,5471,8671,Híbrido
844,Suporte / Infraestrutura,São Paulo - SP,Júnior,2595,4476,Híbrido
845,Desenvolvimento Backend,São Paulo - SP,Pleno,5024,9465,Remoto
846,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2511,4533,Híbrido
847,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5390,8691,Remoto
848,Dados / BI,Remoto (Brasil),Júnior,2659,4660,Híbrido
849,Dados / BI,Remoto (Brasil),Sênior,10253,15868,Híbrido
850,Dados / BI,Rio de Janeiro - RJ,Júnior,2665,4383,Híbrido
851,Suporte / Infraestrutura,São Paulo - SP,Sênior,10034,15687,Remoto
852,Desenvolvimento Frontend,São Paulo - SP,Sênior,10359,16486,Presencial
853,Suporte / Infraestrutura,São Paulo - SP,Pleno,5212,8574,Remoto
854,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2536,4413,Presencial
855,Desenvolvimento Backend,São Paulo - SP,Júnior,2746,4486,Remoto
856,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2596,4743,Híbrido
857,Desenvolvimento Frontend,São Paulo - SP,Pleno,5385,9066,Remoto
858,Dados / BI,Rio de Janeiro - RJ,Júnior,2507,4528,Presencial
859,Suporte / Infraestrutura,São Paulo - SP,Júnior,2642,4653,Presencial
860,Dados / BI,Remoto (Brasil),Sênior,9645,16064,Presencial
861,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5021,8551,Remoto
862,Dados / BI,Rio de Janeiro - RJ,Júnior,2564,4749,Remoto
863,Desenvolvimento Frontend,São Paulo - SP,Pleno,5153,8641,Híbrido
864,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5312,9066,Presencial
865,Desenvolvimento Frontend,São Paulo - SP,Júnior,2669,4484,Híbrido
866,Dados / BI,Rio de Janeiro - RJ,Pleno,5461,8559,Híbrido
867,Suporte / Infraestrutura,São Paulo - SP,Júnior,2507,4776,Presencial
868,Suporte / Infraestrutura,São Paulo - SP,Pleno,5198,8731,Presencial
869,Desenvolvimento Backend,Remoto (Brasil),Júnior,2505,4708,Híbrido
870,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2750,4572,Presencial
871,Dados / BI,São Paulo - SP,Júnior,2550,4740,Híbrido
872,Dados / BI,Remoto (Brasil),Júnior,2689,4609,Remoto
873,Dados / BI,Rio de Janeiro - RJ,Sênior,10402,16371,Presencial
874,Dados / BI,São Paulo - SP,Pleno,5129,9247,Presencial
875,Desenvolvimento Backend,Remoto (Brasil),Sênior,9916,15861,Híbrido
876,Desenvolvimento Frontend,São Paulo - SP,Júnior,2571,4790,Remoto
877,Desenvolvimento Backend,São Paulo - SP,Pleno,5012,9305,Remoto
878,Desenvolvimento Frontend,São Paulo - SP,Pleno,5049,8578,Remoto
879,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,10352,15411,Híbrido
880,Desenvolvimento Backend,Remoto (Brasil),Júnior,2515,4789,Remoto
881,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2656,4640,Remoto
882,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5316,9320,Híbrido
883,Suporte / Infraestrutura,São Paulo - SP,Pleno,5173,9216,Remoto
884,Desenvolvimento Backend,São Paulo - SP,Júnior,2652,4685,Híbrido
885,Desenvolvimento Frontend,São Paulo - SP,Pleno,5371,9185,Remoto
886,Suporte / Infraestrutura,São Paulo - SP,Pleno,5491,9217,Remoto
887,Dados / BI,São Paulo - SP,Júnior,2502,4585,Remoto
888,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2732,4423,Híbrido
889,Dados / BI,São Paulo - SP,Pleno,5169,9422,Remoto
890,Desenvolvimento Backend,São Paulo - SP,Sênior,9543,16315,Híbrido
891,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2623,4696,Remoto
892,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2518,4503,Remoto
893,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9868,15389,Remoto
894,Dados / BI,São Paulo - SP,Pleno,5173,9417,Remoto
895,Desenvolvimento Backend,São Paulo - SP,Júnior,2712,4666,Remoto
896,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5087,9089,Remoto
897,Desenvolvimento Frontend,São Paulo - SP,Sênior,9696,16390,Presencial
898,Desenvolvimento Backend,Remoto (Brasil),Júnior,2657,4620,Remoto
899,Suporte / Infraestrutura,Remoto (Brasil),Sênior,10371,16340,Híbrido
900,Desenvolvimento Frontend,São Paulo - SP,Pleno,5085,9070,Remoto
901,Desenvolvimento Frontend,São Paulo - SP,Pleno,5366,9056,Remoto
902,Desenvolvimento Backend,São Paulo - SP,Sênior,9905,15747,Remoto
903,Dados / BI,São Paulo - SP,Pleno,5151,9005,Híbrido
904,Desenvolvimento Frontend,São Paulo - SP,Pleno,5221,8968,Remoto
905,Suporte / Infraestrutura,São Paulo - SP,Júnior,2519,4503,Remoto
906,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2551,4490,Remoto
907,Dados / BI,Remoto (Brasil),Júnior,2718,4705,Presencial
908,Dados / BI,Rio de Janeiro - RJ,Pleno,5207,9391,Remoto
909,Dados / BI,São Paulo - SP,Júnior,2559,4584,Híbrido
910,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2697,4677,Remoto
911,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2741,4697,Remoto
912,Desenvolvimento Backend,Remoto (Brasil),Pleno,5353,9100,Remoto
913,Dados / BI,São Paulo - SP,Júnior,2661,4729,Remoto
914,Suporte / Infraestrutura,São Paulo - SP,Pleno,5168,9133,Híbrido
915,Desenvolvimento Backend,São Paulo - SP,Sênior,10117,16300,Remoto
916,Desenvolvimento Backend,Remoto (Brasil),Pleno,5035,9015,Remoto
917,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2607,4564,Remoto
918,Dados / BI,São Paulo - SP,Pleno,5081,9168,Remoto
919,Desenvolvimento Frontend,São Paulo - SP,Júnior,2516,4742,Presencial
920,Desenvolvimento Backend,Remoto (Brasil),Pleno,5377,8643,Híbrido
921,Suporte / Infraestrutura,São Paulo - SP,Júnior,2563,4411,Híbrido
922,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5022,8795,Híbrido
923,Suporte / Infraestrutura,São Paulo - SP,Júnior,2685,4689,Presencial
924,Desenvolvimento Frontend,São Paulo - SP,Júnior,2696,4719,Híbrido
925,Suporte / Infraestrutura,São Paulo - SP,Júnior,2677,4665,Presencial
926,Suporte / Infraestrutura,São Paulo - SP,Júnior,2529,4683,Remoto
927,Desenvolvimento Backend,São Paulo - SP,Júnior,2743,4544,Híbrido
928,Desenvolvimento Backend,São Paulo - SP,Júnior,2689,4520,Remoto
929,Desenvolvimento Backend,São Paulo - SP,Júnior,2672,4592,Híbrido
930,Desenvolvimento Frontend,São Paulo - SP,Pleno,5024,9340,Presencial
931,Desenvolvimento Frontend,São Paulo - SP,Júnior,2507,4327,Presencial
932,Dados / BI,São Paulo - SP,Sênior,10180,15643,Remoto
933,Desenvolvimento Backend,São Paulo - SP,Pleno,5097,9189,Remoto
934,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2602,4654,Remoto
935,Desenvolvimento Backend,São Paulo - SP,Pleno,5188,8594,Híbrido
936,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,10229,16398,Presencial
937,Dados / BI,Rio de Janeiro - RJ,Pleno,5497,9339,Presencial
938,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2504,4631,Híbrido
939,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2505,4635,Híbrido
940,Desenvolvimento Frontend,São Paulo - SP,Pleno,5030,8690,Remoto
941,Dados / BI,Remoto (Brasil),Sênior,10112,16208,Híbrido
942,Dados / BI,São Paulo - SP,Pleno,5500,8974,Remoto
943,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2734,4660,Remoto
944,Suporte / Infraestrutura,São Paulo - SP,Júnior,2625,4355,Remoto
945,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5407,8759,Remoto
946,Desenvolvimento Backend,Remoto (Brasil),Júnior,2545,4630,Remoto
947,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2748,4504,Remoto
948,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5079,9389,Presencial
949,Desenvolvimento Backend,São Paulo - SP,Sênior,10109,16400,Remoto
950,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5246,8623,Remoto
951,Desenvolvimento Frontend,São Paulo - SP,Pleno,5191,9053,Remoto
952,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9572,16137,Remoto
953,Dados / BI,Remoto (Brasil),Sênior,10289,16839,Híbrido
954,Desenvolvimento Backend,São Paulo - SP,Pleno,5124,9039,Remoto
955,Dados / BI,Remoto (Brasil),Pleno,5130,8803,Híbrido
956,Desenvolvimento Backend,São Paulo - SP,Pleno,5300,9472,Presencial
957,Dados / BI,Remoto (Brasil),Júnior,2747,4592,Híbrido
958,Dados / BI,São Paulo - SP,Sênior,9611,16602,Presencial
959,Desenvolvimento Frontend,São Paulo - SP,Júnior,2543,4737,Remoto
960,Desenvolvimento Backend,São Paulo - SP,Júnior,2610,4407,Remoto
961,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9961,16461,Híbrido
962,Desenvolvimento Frontend,São Paulo - SP,Júnior,2730,4766,Remoto
963,Dados / BI,São Paulo - SP,Júnior,2587,4335,Remoto
964,Suporte / Infraestrutura,São Paulo - SP,Sênior,10181,16492,Híbrido
965,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5492,9329,Remoto
966,Desenvolvimento Backend,Remoto (Brasil),Júnior,2580,4738,Híbrido
967,Desenvolvimento Backend,São Paulo - SP,Sênior,10325,15505,Remoto
968,Desenvolvimento Backend,São Paulo - SP,Sênior,10269,16969,Híbrido
969,Desenvolvimento Frontend,São Paulo - SP,Pleno,5482,9382,Remoto
970,Desenvolvimento Frontend,São Paulo - SP,Pleno,5406,8633,Remoto
971,Dados / BI,Rio de Janeiro - RJ,Júnior,2633,4768,Remoto
972,Desenvolvimento Backend,São Paulo - SP,Pleno,5447,9028,Remoto
973,Desenvolvimento Backend,São Paulo - SP,Sênior,10216,15483,Híbrido
974,Dados / BI,São Paulo - SP,Júnior,2621,4779,Híbrido
975,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2647,4712,Presencial
976,Suporte / Infraestrutura,São Paulo - SP,Pleno,5334,9207,Remoto
977,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2689,4623,Presencial
978,Desenvolvimento Backend,Remoto (Brasil),Pleno,5000,8868,Híbrido
979,Dados / BI,São Paulo - SP,Sênior,9629,16364,Híbrido
980,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2741,4471,Remoto
981,Dados / BI,São Paulo - SP,Sênior,10219,15370,Híbrido
982,Desenvolvimento Backend,São Paulo - SP,Júnior,2747,4512,Híbrido
983,Dados / BI,Rio de Janeiro - RJ,Sênior,9683,16298,Remoto
984,Desenvolvimento Frontend,São Paulo - SP,Sênior,10275,16101,Remoto
985,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,10386,16948,Remoto
986,Desenvolvimento Backend,São Paulo - SP,Júnior,2537,4427,Presencial
987,Desenvolvimento Frontend,São Paulo - SP,Sênior,10379,15602,Remoto
988,Dados / BI,São Paulo - SP,Sênior,9620,16355,Remoto
989,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5352,9160,Presencial
990,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2667,4547,Remoto
991,Dados / BI,Remoto (Brasil),Sênior,9730,15347,Remoto
992,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5152,9135,Remoto
993,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5418,9099,Presencial
994,Desenvolvimento Backend,São Paulo - SP,Júnior,2653,4675,Remoto
995,Suporte / Infraestrutura,São Paulo - SP,Júnior,2643,4451,Híbrido
996,Desenvolvimento Backend,São Paulo - SP,Pleno,5216,9223,Híbrido
997,Dados / BI,São Paulo - SP,Pleno,5355,8870,Híbrido
998,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2536,4473,Híbrido
999,Desenvolvimento Frontend,São Paulo - SP,Júnior,2686,4638,Remoto
1000,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2608,4675,Presencial
1001,Dados / BI,São Paulo - SP,Júnior,2595,4608,Presencial
1002,Desenvolvimento Backend,São Paulo - SP,Júnior,2654,4446,Híbrido
1003,Suporte / Infraestrutura,São Paulo - SP,Júnior,2522,4505,Remoto
1004,Suporte / Infraestrutura,São Paulo - SP,Sênior,9887,15515,Híbrido
1005,Dados / BI,São Paulo - SP,Sênior,10001,15495,Presencial
1006,Desenvolvimento Frontend,São Paulo - SP,Sênior,9898,15670,Remoto
1007,Desenvolvimento Frontend,São Paulo - SP,Júnior,2532,4393,Híbrido
1008,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5224,8912,Remoto
1009,Desenvolvimento Backend,São Paulo - SP,Sênior,9916,16878,Remoto
1010,Desenvolvimento Backend,São Paulo - SP,Júnior,2647,4349,Presencial
1011,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5374,8689,Presencial
1012,Suporte / Infraestrutura,São Paulo - SP,Pleno,5359,9097,Remoto
1013,Suporte / Infraestrutura,São Paulo - SP,Sênior,10282,16372,Presencial
1014,Desenvolvimento Frontend,Remoto (Brasil),Sênior,9932,16314,Presencial
1015,Desenvolvimento Frontend,São Paulo - SP,Sênior,9797,15912,Remoto
1016,Suporte / Infraestrutura,São Paulo - SP,Sênior,10158,16355,Presencial
1017,Desenvolvimento Backend,São Paulo - SP,Júnior,2617,4488,Presencial
1018,Desenvolvimento Frontend,São Paulo - SP,Júnior,2525,4540,Remoto
1019,Desenvolvimento Backend,São Paulo - SP,Júnior,2668,4448,Remoto
1020,Dados / BI,São Paulo - SP,Sênior,9611,16198,Híbrido
1021,Desenvolvimento Backend,São Paulo - SP,Sênior,10226,15706,Remoto
1022,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2670,4421,Híbrido
1023,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5166,9319,Presencial
1024,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2588,4576,Presencial
1025,Desenvolvimento Frontend,São Paulo - SP,Pleno,5148,8838,Híbrido
1026,Desenvolvimento Backend,Remoto (Brasil),Júnior,2529,4762,Híbrido
1027,Desenvolvimento Backend,São Paulo - SP,Pleno,5257,9175,Remoto
1028,Desenvolvimento Backend,São Paulo - SP,Sênior,9649,16173,Remoto
1029,Desenvolvimento Frontend,São Paulo - SP,Pleno,5118,8777,Híbrido
1030,Dados / BI,São Paulo - SP,Júnior,2571,4499,Remoto
1031,Desenvolvimento Backend,Remoto (Brasil),Pleno,5164,8767,Remoto
1032,Desenvolvimento Backend,São Paulo - SP,Júnior,2577,4377,Híbrido
1033,Suporte / Infraestrutura,São Paulo - SP,Júnior,2707,4505,Híbrido
1034,Dados / BI,Remoto (Brasil),Júnior,2661,4700,Híbrido
1035,Desenvolvimento Frontend,São Paulo - SP,Júnior,2639,4636,Remoto
1036,Suporte / Infraestrutura,São Paulo - SP,Pleno,5456,9448,Presencial
1037,Suporte / Infraestrutura,São Paulo - SP,Pleno,5476,9065,Presencial
1038,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9562,16926,Híbrido
1039,Suporte / Infraestrutura,São Paulo - SP,Sênior,9669,16196,Remoto
1040,Desenvolvimento Backend,São Paulo - SP,Pleno,5303,9263,Presencial
1041,Desenvolvimento Backend,Remoto (Brasil),Júnior,2530,4407,Remoto
1042,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,9776,16919,Remoto
1043,Desenvolvimento Frontend,São Paulo - SP,Pleno,5497,8927,Presencial
1044,Desenvolvimento Backend,São Paulo - SP,Sênior,10140,16971,Remoto
1045,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5444,9346,Presencial
1046,Desenvolvimento Backend,São Paulo - SP,Pleno,5418,9002,Remoto
1047,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5188,8701,Remoto
1048,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2645,4571,Remoto
1049,Desenvolvimento Backend,Remoto (Brasil),Sênior,10203,16544,Remoto
1050,Dados / BI,São Paulo - SP,Sênior,9602,16783,Remoto
1051,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2712,4649,Remoto
1052,Suporte / Infraestrutura,São Paulo - SP,Pleno,5405,8559,Remoto
1053,Suporte / Infraestrutura,São Paulo - SP,Pleno,5456,9004,Remoto
1054,Desenvolvimento Backend,São Paulo - SP,Júnior,2639,4383,Remoto
1055,Suporte / Infraestrutura,São Paulo - SP,Sênior,9645,15302,Remoto
1056,Dados / BI,Remoto (Brasil),Júnior,2735,4770,Remoto
1057,Desenvolvimento Frontend,São Paulo - SP,Júnior,2519,4635,Remoto
1058,Desenvolvimento Backend,São Paulo - SP,Pleno,5347,8985,Presencial
1059,Suporte / Infraestrutura,São Paulo - SP,Pleno,5188,8821,Remoto
1060,Suporte / Infraestrutura,São Paulo - SP,Pleno,5402,9039,Remoto
1061,Desenvolvimento Frontend,São Paulo - SP,Sênior,9686,16871,Híbrido
1062,Suporte / Infraestrutura,São Paulo - SP,Sênior,9841,15583,Híbrido
1063,Desenvolvimento Backend,São Paulo - SP,Pleno,5117,8943,Remoto
1064,Desenvolvimento Frontend,São Paulo - SP,Júnior,2717,4328,Presencial
1065,Desenvolvimento Backend,Remoto (Brasil),Sênior,10297,16977,Remoto
1066,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2535,4380,Remoto
1067,Suporte / Infraestrutura,São Paulo - SP,Pleno,5037,9038,Remoto
1068,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2645,4745,Híbrido
1069,Desenvolvimento Frontend,São Paulo - SP,Pleno,5153,9031,Remoto
1070,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9532,16537,Híbrido
1071,Suporte / Infraestrutura,São Paulo - SP,Pleno,5424,8814,Presencial
1072,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2596,4384,Remoto
1073,Suporte / Infraestrutura,São Paulo - SP,Pleno,5430,8629,Presencial
1074,Desenvolvimento Backend,Remoto (Brasil),Sênior,10162,16168,Remoto
1075,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2561,4464,Híbrido
1076,Dados / BI,Rio de Janeiro - RJ,Júnior,2641,4423,Remoto
1077,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2702,4567,Presencial
1078,Desenvolvimento Frontend,Remoto (Brasil),Sênior,10012,15699,Remoto
1079,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5257,9376,Híbrido
1080,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2538,4669,Híbrido
1081,Dados / BI,Rio de Janeiro - RJ,Sênior,9664,16327,Remoto
1082,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,9540,16759,Presencial
1083,Desenvolvimento Backend,São Paulo - SP,Sênior,9599,16948,Remoto
1084,Desenvolvimento Backend,Remoto (Brasil),Sênior,9665,15439,Remoto
1085,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2621,4451,Remoto
1086,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5438,9184,Híbrido
1087,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2521,4669,Híbrido
1088,Suporte / Infraestrutura,São Paulo - SP,Pleno,5125,9266,Remoto
1089,Desenvolvimento Frontend,São Paulo - SP,Pleno,5037,8778,Híbrido
1090,Desenvolvimento Backend,São Paulo - SP,Sênior,9611,15475,Remoto
1091,Desenvolvimento Backend,São Paulo - SP,Júnior,2654,4568,Remoto
1092,Desenvolvimento Frontend,São Paulo - SP,Pleno,5327,8768,Presencial
1093,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5242,8768,Remoto
1094,Desenvolvimento Frontend,São Paulo - SP,Júnior,2517,4460,Híbrido
1095,Desenvolvimento Frontend,São Paulo - SP,Sênior,9594,16177,Presencial
1096,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5401,8714,Presencial
1097,Dados / BI,São Paulo - SP,Sênior,9703,15459,Remoto
1098,Desenvolvimento Backend,Remoto (Brasil),Júnior,2721,4482,Presencial
1099,Desenvolvimento Backend,São Paulo - SP,Pleno,5327,9142,Remoto
1100,Desenvolvimento Frontend,São Paulo - SP,Júnior,2596,4430,Híbrido
1101,Suporte / Infraestrutura,São Paulo - SP,Sênior,10014,16977,Remoto
1102,Desenvolvimento Frontend,São Paulo - SP,Pleno,5267,9333,Remoto
1103,Desenvolvimento Backend,Remoto (Brasil),Júnior,2611,4515,Híbrido
1104,Suporte / Infraestrutura,São Paulo - SP,Sênior,9589,16950,Presencial
1105,Dados / BI,São Paulo - SP,Pleno,5319,9499,Presencial
1106,Desenvolvimento Backend,Remoto (Brasil),Sênior,10064,16080,Remoto
1107,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5379,8955,Remoto
1108,Suporte / Infraestrutura,São Paulo - SP,Júnior,2731,4727,Remoto
1109,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5418,9081,Remoto
1110,Suporte / Infraestrutura,São Paulo - SP,Júnior,2664,4521,Remoto
1111,Dados / BI,São Paulo - SP,Júnior,2559,4370,Híbrido
